File,Address,Hop,IP,Average Time
2024-04-25_17.txt,www.fmprc.gov.cn,5,146.97.130.237,5.51
2024-04-25_17.txt,www.fmprc.gov.cn,6,146.97.35.217,6.11
2024-04-25_17.txt,www.fmprc.gov.cn,7,146.97.33.61,5.82
2024-04-25_17.txt,www.fmprc.gov.cn,8,146.97.35.194,5.54
2024-04-25_17.txt,www.fmprc.gov.cn,9,62.115.175.106,5.56
2024-04-25_17.txt,www.fmprc.gov.cn,10,62.115.138.168,7.35
2024-04-25_17.txt,www.fmprc.gov.cn,11,62.115.120.239,6.07
2024-04-25_17.txt,www.fmprc.gov.cn,12,62.115.161.119,6.36
2024-04-25_17.txt,www.gov.za,1,139.222.0.1,1.2
2024-04-25_17.txt,www.gov.za,2,10.0.0.1,5.16
2024-04-25_17.txt,www.gov.za,3,193.62.92.126,0.87
2024-04-25_17.txt,www.gov.za,4,10.11.2.2,0.9
2024-04-25_17.txt,www.gov.za,5,146.97.130.237,5.66
2024-04-25_17.txt,www.gov.za,6,146.97.35.217,5.66
2024-04-25_17.txt,www.gov.za,7,146.97.33.61,6.58
2024-04-25_17.txt,www.gov.za,8,146.97.35.194,5.47
2024-04-25_17.txt,www.gov.za,9,62.115.175.106,5.59
2024-04-25_17.txt,www.gov.za,10,62.115.138.168,7.04
2024-04-25_17.txt,www.gov.za,11,62.115.120.75,6.3
2024-04-25_17.txt,www.gov.za,15,168.209.1.200,172.98
2024-04-25_17.txt,www.gov.za,16,168.209.129.136,172.81
2024-04-25_17.txt,www.gov.za,17,168.209.90.3,167.75
2024-04-25_17.txt,www.gov.za,18,168.209.131.143,171.36
2024-04-25_17.txt,www.gov.za,19,197.97.72.54,167.21
2024-04-25_17.txt,www.gov.scot,1,139.222.0.1,1.44
2024-04-25_17.txt,www.gov.scot,2,10.0.0.1,8.6
2024-04-25_17.txt,www.gov.scot,3,193.62.92.126,0.93
2024-04-25_17.txt,www.gov.scot,4,10.11.2.2,1.16
2024-04-25_17.txt,www.gov.scot,5,146.97.130.237,5.61
2024-04-25_17.txt,www.gov.scot,6,146.97.35.217,5.75
2024-04-25_17.txt,www.gov.scot,7,146.97.35.182,6.53
2024-04-25_17.txt,www.gov.scot,8,99.82.180.146,7.38
2024-04-25_17.txt,www.gov.scot,10,178.236.3.5,7.61
2024-04-25_17.txt,www.gov.scot,12,52.94.35.141,8.76
2024-04-25_17.txt,www.gov.scot,18,143.204.194.99,7.41
2024-04-25_17.txt,www5.usp.br,1,139.222.0.1,1.07
2024-04-25_17.txt,www5.usp.br,2,10.0.0.1,9.15
2024-04-25_17.txt,www5.usp.br,3,193.62.92.126,0.66
2024-04-25_17.txt,www5.usp.br,4,10.11.2.2,0.87
2024-04-25_17.txt,www5.usp.br,5,146.97.130.237,5.51
2024-04-25_17.txt,www5.usp.br,6,146.97.35.217,5.63
2024-04-25_17.txt,www5.usp.br,7,146.97.33.5,5.93
2024-04-25_17.txt,www5.usp.br,8,146.97.33.1,6.41
2024-04-25_17.txt,www5.usp.br,9,62.40.124.197,6.55
2024-04-25_17.txt,www5.usp.br,10,62.40.124.45,91.44
2024-04-25_17.txt,www5.usp.br,11,163.253.1.120,111.31
2024-04-25_17.txt,www5.usp.br,12,163.253.1.135,112.08
2024-04-25_17.txt,www5.usp.br,13,163.253.1.102,110.99
2024-04-25_17.txt,www5.usp.br,14,163.253.2.33,112.62
